

,Challenger,0.00015%,0.00015%
,GrandMaster,0.0015%,0.0015%
,Master,0.074%,0.074%
,Diamond I,0.14%,1.9%
Diamond II,0.27%
Diamond III,0.49%
Diamond IV,1.0%
,Emerald I,0.91%,6.0%
Emerald II,1.1%
Emerald III,1.6%
Emerald IV,2.3%
,Platinum I,1.6%,9.4%
Platinum II,2.2%
Platinum III,2.4%
Platinum IV,3.0%
,Gold I,2.0%,14%
Gold II,3.2%
Gold III,3.8%
Gold IV,5.2%
,Silver I,3.9%,20%
Silver II,4.8%
Silver III,5.2%
Silver IV,6.1%
,Bronze I,4.4%,20%
Bronze II,4.9%
Bronze III,5.0%
Bronze IV,5.8%
,Iron I,4.9%,27%
Iron II,7.6%
Iron III,9.7%
Iron IV,5.2%
